Date,Employees
2/1/2000,1290.5
3/1/2000,1312.5
4/1/2000,1321.1
5/1/2000,1340.5
6/1/2000,1362.4
7/1/2000,1369.5
8/1/2000,1376.1
9/1/2000,1369.1
10/1/2000,1341.9
11/1/2000,1337.2
12/1/2000,1348.4
1/1/2001,1314.7
2/1/2001,1334.8
3/1/2001,1353.7
4/1/2001,1361.6
5/1/2001,1378.9
6/1/2001,1395.3
7/1/2001,1397.9
8/1/2001,1402.2
9/1/2001,1378.1
10/1/2001,1362.4
11/1/2001,1353.8
12/1/2001,1358.9
1/1/2002,1319.2
2/1/2002,1336.4
3/1/2002,1356.4
4/1/2002,1383.2
5/1/2002,1404.1
6/1/2002,1420
7/1/2002,1410.9
8/1/2002,1418
9/1/2002,1403.7
10/1/2002,1385
11/1/2002,1376
12/1/2002,1386.4
1/1/2003,1346.5
2/1/2003,1363.6
3/1/2003,1377.2
4/1/2003,1389.6
5/1/2003,1405.1
6/1/2003,1426.5
7/1/2003,1426.1
8/1/2003,1433.3
9/1/2003,1419.6
10/1/2003,1407.6
11/1/2003,1402.5
12/1/2003,1412.4
1/1/2004,1381.7
2/1/2004,1401.4
3/1/2004,1418.6
4/1/2004,1426
5/1/2004,1447.8
6/1/2004,1461.3
7/1/2004,1471.7
8/1/2004,1474.8
9/1/2004,1462
10/1/2004,1445
11/1/2004,1439.1
12/1/2004,1450.9
1/1/2005,1408.9
2/1/2005,1424.7
3/1/2005,1446.5
4/1/2005,1468.7
5/1/2005,1483
6/1/2005,1502.4
7/1/2005,1505.3
8/1/2005,1510
9/1/2005,1497.8
10/1/2005,1483.3
11/1/2005,1481.1
12/1/2005,1493.2
1/1/2006,1451.3
2/1/2006,1473.1
3/1/2006,1492.1
4/1/2006,1506.7
5/1/2006,1526.8
6/1/2006,1548.3
7/1/2006,1548.3
8/1/2006,1556.2
9/1/2006,1540.4
10/1/2006,1526.9
11/1/2006,1523.6
12/1/2006,1535.7
1/1/2007,1496.7
2/1/2007,1513.9
3/1/2007,1534.5
4/1/2007,1548
5/1/2007,1569.3
6/1/2007,1590.4
7/1/2007,1593.2
8/1/2007,1595.1
9/1/2007,1579.6
10/1/2007,1567.1
11/1/2007,1562.4
12/1/2007,1571.3
1/1/2008,1529.5
2/1/2008,1545.2
3/1/2008,1562.8
4/1/2008,1578.1
5/1/2008,1592.6
6/1/2008,1609.4
7/1/2008,1611.4
8/1/2008,1607.2
9/1/2008,1585.6
10/1/2008,1559
11/1/2008,1543.6
12/1/2008,1544
1/1/2009,1489.8
2/1/2009,1491.4
3/1/2009,1494.2
4/1/2009,1504.5
5/1/2009,1522.2
6/1/2009,1529.1
7/1/2009,1526
8/1/2009,1522.5
9/1/2009,1504.5
10/1/2009,1491.2
11/1/2009,1476.7
12/1/2009,1482
1/1/2010,1440.3
2/1/2010,1449.5
3/1/2010,1462.4
4/1/2010,1496.2
5/1/2010,1509.4
6/1/2010,1526.2
7/1/2010,1533
8/1/2010,1535.1
9/1/2010,1522.1
10/1/2010,1514.9
11/1/2010,1503.9
12/1/2010,1516
1/1/2011,1475.9
2/1/2011,1490.2
3/1/2011,1505.6
4/1/2011,1523.6
5/1/2011,1540
6/1/2011,1553.4
7/1/2011,1564.2
8/1/2011,1568.9
9/1/2011,1560.2
10/1/2011,1545.8
11/1/2011,1543.4
12/1/2011,1545.4
1/1/2012,1518.9
2/1/2012,1536.9
3/1/2012,1556.7
4/1/2012,1582
5/1/2012,1605
6/1/2012,1625.5
7/1/2012,1632.4
8/1/2012,1641.2
9/1/2012,1626
10/1/2012,1615.2
11/1/2012,1610.5
12/1/2012,1615.9
1/1/2013,1588.4
2/1/2013,1610.6
3/1/2013,1632.9
4/1/2013,1657.2
5/1/2013,1682.9
6/1/2013,1702.8
7/1/2013,1709.1
8/1/2013,1714.3
9/1/2013,1700.6
10/1/2013,1697.4
11/1/2013,1695.8
12/1/2013,1705.4
1/1/2014,1676.6
2/1/2014,1698.5
3/1/2014,1719.4
4/1/2014,1742.7
5/1/2014,1767.6
6/1/2014,1786.4
7/1/2014,1791
8/1/2014,1799.9
9/1/2014,1780.8
10/1/2014,1774
11/1/2014,1768.1
12/1/2014,1772.5
1/1/2015,1743.8
2/1/2015,1767.8
3/1/2015,1787.1
4/1/2015,1811.7
5/1/2015,1836.2
6/1/2015,1851.8
7/1/2015,1865.9
8/1/2015,1869.3
9/1/2015,1854.2
10/1/2015,1853.7
11/1/2015,1845
12/1/2015,1852.9
1/1/2016,1823.2
2/1/2016,1846.1
3/1/2016,1858.9
4/1/2016,1893.9
5/1/2016,1909.8
6/1/2016,1923.8
7/1/2016,1940.2
8/1/2016,1941.5
9/1/2016,1925.2
10/1/2016,1923.8
11/1/2016,1914.4
12/1/2016,1916.4
1/1/2017,1873.6
2/1/2017,1897.3
3/1/2017,1923.4
4/1/2017,1945.4
5/1/2017,1967.4
6/1/2017,1988.7
7/1/2017,1990.9
8/1/2017,1989.9
9/1/2017,1964.9
10/1/2017,1965.2
11/1/2017,1956.6
12/1/2017,1957.2
1/1/2018,1916.8
2/1/2018,1944.5
3/1/2018,1962.2
4/1/2018,1984.9
5/1/2018,2001.5
6/1/2018,2015.3
7/1/2018,2022.1
8/1/2018,2019.1
9/1/2018,1992.5
10/1/2018,1984.3
11/1/2018,1990.1
12/1/2018,2000.2
