DATE,TRFVOLUSM227NFWA
1994-12-01,193087
1995-01-01,193838
1995-02-01,171053
1995-03-01,201227
1995-04-01,198213
1995-05-01,212586
1995-06-01,211370
1995-07-01,217188
1995-08-01,219216
1995-09-01,203866
1995-10-01,206745
1995-11-01,194131
1995-12-01,193341
1996-01-01,183465
1996-02-01,176562
1996-03-01,204172
1996-04-01,205253
1996-05-01,218676
1996-06-01,215551
1996-07-01,225109
1996-08-01,229050
1996-09-01,207604
1996-10-01,215654
1996-11-01,199643
1996-12-01,201462
1997-01-01,190126
1997-02-01,183950
1997-03-01,211952
1997-04-01,211290
1997-05-01,226082
1997-06-01,222254
1997-07-01,236713
1997-08-01,233496
1997-09-01,213547
1997-10-01,221219
1997-11-01,202422
1997-12-01,207322
1998-01-01,196870
1998-02-01,187167
1998-03-01,214222
1998-04-01,217921
1998-05-01,227899
1998-06-01,228733
1998-07-01,239944
1998-08-01,237143
1998-09-01,219461
1998-10-01,228523
1998-11-01,211178
1998-12-01,216303
1999-01-01,193581
1999-02-01,191485
1999-03-01,220763
1999-04-01,220996
1999-05-01,230786
1999-06-01,235970
1999-07-01,243116
1999-08-01,241503
1999-09-01,224306
1999-10-01,233631
1999-11-01,221856
1999-12-01,221465
2000-01-01,203442
2000-02-01,199261
2000-03-01,232490
2000-04-01,227698
2000-05-01,242501
2000-06-01,242963
2000-07-01,245140
2000-08-01,247832
2000-09-01,227899
2000-10-01,236491
2000-11-01,222819
2000-12-01,218390
2001-01-01,209685
2001-02-01,200876
2001-03-01,232587
2001-04-01,232513
2001-05-01,245357
2001-06-01,243498
2001-07-01,250363
2001-08-01,253274
2001-09-01,226312
2001-10-01,241050
2001-11-01,230511
2001-12-01,229584
2002-01-01,215215
2002-02-01,208237
2002-03-01,236070
2002-04-01,237226
2002-05-01,251746
2002-06-01,247868
2002-07-01,256392
2002-08-01,258666
2002-09-01,233625
2002-10-01,245556
2002-11-01,230648
2002-12-01,234260
2003-01-01,218534
2003-02-01,203677
2003-03-01,236679
2003-04-01,239415
2003-05-01,253244
2003-06-01,252145
2003-07-01,262105
2003-08-01,260687
2003-09-01,237451
2003-10-01,254048
2003-11-01,233698
2003-12-01,238538
2004-01-01,222450
2004-02-01,213709
2004-03-01,251403
2004-04-01,250968
2004-05-01,257235
2004-06-01,257383
2004-07-01,265969
2004-08-01,262836
2004-09-01,243515
2004-10-01,254496
2004-11-01,239796
2004-12-01,245029
2005-01-01,224072
2005-02-01,219970
2005-03-01,253182
2005-04-01,250860
2005-05-01,262678
2005-06-01,263816
2005-07-01,267025
2005-08-01,265323
2005-09-01,242240
2005-10-01,251419
2005-11-01,243056
2005-12-01,245787
2006-01-01,233282
2006-02-01,220711
2006-03-01,256623
2006-04-01,250644
2006-05-01,263370
2006-06-01,263782
2006-07-01,263421
2006-08-01,265206
2006-09-01,245605
2006-10-01,257939
2006-11-01,245346
2006-12-01,248187
2007-01-01,233621
2007-02-01,219232
2007-03-01,259638
2007-04-01,252595
2007-05-01,267574
2007-06-01,265374
2007-07-01,267106
2007-08-01,271225
2007-09-01,245965
2007-10-01,261423
2007-11-01,245787
2007-12-01,240281
2008-01-01,232920
2008-02-01,221336
2008-03-01,252343
2008-04-01,252088
2008-05-01,261466
2008-06-01,257484
2008-07-01,261600
2008-08-01,260609
2008-09-01,239607
2008-10-01,255848
2008-11-01,236465
2008-12-01,241742
2009-01-01,225529
2009-02-01,217643
2009-03-01,249741
2009-04-01,251374
2009-05-01,258276
2009-06-01,258395
2009-07-01,264472
2009-08-01,260297
2009-09-01,241970
2009-10-01,252209
2009-11-01,237264
2009-12-01,239593
2010-01-01,220839
2010-02-01,210635
2010-03-01,254238
2010-04-01,253936
2010-05-01,256927
2010-06-01,260083
2010-07-01,265315
2010-08-01,263837
2010-09-01,244682
2010-10-01,256395
2010-11-01,239579
2010-12-01,240800
2011-01-01,223790
2011-02-01,213463
2011-03-01,253124
2011-04-01,249578
2011-05-01,254083
2011-06-01,258350
2011-07-01,260175
2011-08-01,260526
2011-09-01,242062
2011-10-01,251906
2011-11-01,238535
2011-12-01,244810
2012-01-01,227527
2012-02-01,218196
2012-03-01,256166
2012-04-01,249394
2012-05-01,260774
2012-06-01,260376
2012-07-01,260244
2012-08-01,264379
2012-09-01,238867
2012-10-01,253574
2012-11-01,240361
2012-12-01,238709
2013-01-01,229419
2013-02-01,215803
2013-03-01,253026
2013-04-01,252064
2013-05-01,263406
2013-06-01,259980
2013-07-01,263946
2013-08-01,268061
2013-09-01,242536
2013-10-01,258748
2013-11-01,240055
2013-12-01,241237
2014-01-01,226413
2014-02-01,213949
2014-03-01,253424
2014-04-01,256736
2014-05-01,266237
2014-06-01,263459
2014-07-01,270053
2014-08-01,268831
2014-09-01,247688
2014-10-01,265144
2014-11-01,241451
2014-12-01,252271
2015-01-01,233498
2015-02-01,217220
2015-03-01,258017
2015-04-01,262817
2015-05-01,270839
2015-06-01,270574
2015-07-01,278372
2015-08-01,272209
2015-09-01,255090
2015-10-01,268469
2015-11-01,248843
2015-12-01,259424
2016-01-01,239679
2016-02-01,223011
2016-03-01,265147
2016-04-01,269653
2016-05-01,277972
2016-06-01,276991
2016-07-01,285160
2016-08-01,279213
2016-09-01,262039
2016-10-01,275610
2016-11-01,255154
2016-12-01,264778
2017-01-01,244587
2017-02-01,226947
2017-03-01,267355
2017-04-01,272904
2017-05-01,283956
2017-06-01,280537
2017-07-01,287343
2017-08-01,283184
2017-09-01,262673
2017-10-01,278937
2017-11-01,257712
2017-12-01,266535
2018-01-01,245695.0
2018-02-01,226660.0
2018-03-01,268480.0
2018-04-01,272475
2018-05-01,286164.0
2018-06-01,280877.0
2018-07-01,288145.0
2018-08-01,286608.0
2018-09-01,260595.0
2018-10-01,282174.0
2018-11-01,258590.0
2018-12-01,268413.0
