County,State,2010Census,2017PopEstimate
Barber County,Kansas,4861,4586
Barbour County,Alabama,27457,25270
Barbour County,West Virginia,16589,16497
Barnes County,North Dakota,11066,10734
Barnstable County,Massachusetts,215888,213444
Barnwell County,South Carolina,22621,21345
Barren County,Kentucky,42173,43801
Barron County,Wisconsin,45870,45251
Barrow County,Georgia,69367,79061
Barry County,Michigan,59173,60586
Barry County,Missouri,35597,35668
Bartholomew County,Indiana,76794,82040
Barton County,Kansas,27674,26476
Barton County,Missouri,12402,11850
Bartow County,Georgia,100157,105054
Bastrop County,Texas,74171,84761
Bates County,Missouri,17049,16334
Bath County,Kentucky,11591,12378
Bath County,Virginia,4731,4297
Baxter County,Arkansas,41513,41355
Bay County,Florida,168852,183563
Bay County,Michigan,107771,104239
Bayfield County,Wisconsin,15014,15008
Baylor County,Texas,3726,3581
Beadle County,South Dakota,17398,18157
Bear Lake County,Idaho,5986,6028
Beaufort County,North Carolina,47759,47088
Beaufort County,South Carolina,162233,186844
Beauregard Parish,Louisiana,35654,36928
Beaver County,Oklahoma,5636,5315
Beaver County,Pennsylvania,170539,166140
Beaver County,Utah,6629,6386
Beaverhead County,Montana,9246,9434
Becker County,Minnesota,32504,34098
Beckham County,Oklahoma,22119,21793
Bedford County,Pennsylvania,49762,48480
Bedford County,Tennessee,45058,48117
Bedford County,Virginia,74898,77974
Bee County,Texas,31861,32563
Belknap County,New Hampshire,60088,60785
Bell County,Kentucky,28691,26894
Bell County,Texas,310235,347833
Belmont County,Ohio,70400,68029
Beltrami County,Minnesota,44442,46513
Ben Hill County,Georgia,17634,16996
Benewah County,Idaho,9285,9184
Bennett County,South Dakota,3431,3454
Bennington County,Vermont,37125,35594
Benson County,North Dakota,6660,6936
Bent County,Colorado,6499,5938
Benton County,Arkansas,221339,266300
Benton County,Indiana,8854,8613
Benton County,Iowa,26076,25642
Benton County,Minnesota,38451,39937
Benton County,Mississippi,8729,8312
Benton County,Missouri,19056,19074
Benton County,Oregon,85579,90951
Benton County,Tennessee,16489,15986
Benton County,Washington,175177,198171
Benzie County,Michigan,17525,17573
Bergen County,New Jersey,905116,948406
Berkeley County,South Carolina,177843,217937
Berkeley County,West Virginia,104169,114920
Berks County,Pennsylvania,411442,417854
Berkshire County,Massachusetts,131219,126313
Bernalillo County,New Mexico,662564,676773
Berrien County,Georgia,19286,19186
Berrien County,Michigan,156813,154259
Bertie County,North Carolina,21282,19224
Bethel Census Area,Alaska,17013,18076
Bexar County,Texas,1714773,1958578
Bibb County,Alabama,22915,22668
Bibb County,Georgia,155547,152862
Bienville Parish,Louisiana,14353,13638
Big Horn County,Montana,12865,13360
Big Horn County,Wyoming,11668,11906
Big Stone County,Minnesota,5269,5026
Billings County,North Dakota,783,940
Bingham County,Idaho,45607,45927
Black Hawk County,Iowa,131090,132648
Blackford County,Indiana,12766,11976
Bladen County,North Carolina,35190,33478
Blaine County,Idaho,21376,22024
Blaine County,Montana,6491,6708
Blaine County,Nebraska,478,482
Blaine County,Oklahoma,11943,9498
Blair County,Pennsylvania,127089,123457
Blanco County,Texas,10497,11626
Bland County,Virginia,6824,6350
Bleckley County,Georgia,13063,12830
Bledsoe County,Tennessee,12876,14717
Blount County,Alabama,57322,58013
Blount County,Tennessee,123010,129929
Blue Earth County,Minnesota,64013,66973
Boise County,Idaho,7028,7290
Bolivar County,Mississippi,34145,31945
Bollinger County,Missouri,12363,12306
Bon Homme County,South Dakota,7070,6984
Bond County,Illinois,17768,16948
Bonner County,Idaho,40877,43560
Bonneville County,Idaho,104234,114595
Boone County,Arkansas,36903,37381
Boone County,Illinois,54165,53513
Boone County,Indiana,56640,65875
Boone County,Iowa,26306,26484
Boone County,Kentucky,118811,130728
Boone County,Missouri,162642,178271
Boone County,Nebraska,5505,5352
Boone County,West Virginia,24629,22349
Borden County,Texas,641,673
Bosque County,Texas,18212,18326
Bossier Parish,Louisiana,116979,127634
Botetourt County,Virginia,33148,33192
Bottineau County,North Dakota,6429,6530
Boulder County,Colorado,294567,322514
Boundary County,Idaho,10972,11922
Bourbon County,Kansas,15173,14754
Bourbon County,Kentucky,19985,20029
Bowie County,Texas,92565,94012
Bowman County,North Dakota,3151,3166
Box Butte County,Nebraska,11308,10886
Box Elder County,Utah,49975,54079
Boyd County,Kentucky,49542,47979
Boyd County,Nebraska,2099,1977
Boyle County,Kentucky,28432,29924
Bracken County,Kentucky,8488,8267
Bradford County,Florida,28520,27038
Bradford County,Pennsylvania,62622,60853
Bradley County,Arkansas,11508,10864
Bradley County,Tennessee,98963,105560
Branch County,Michigan,45248,43410
Brantley County,Georgia,18411,18731
Braxton County,West Virginia,14523,14237
Brazoria County,Texas,313166,362457
Brazos County,Texas,194851,222830
Breathitt County,Kentucky,13878,12946
Breckinridge County,Kentucky,20059,20111
Bremer County,Iowa,24276,24911
Brevard County,Florida,543376,589162
Brewster County,Texas,9232,9337
Briscoe County,Texas,1637,1528
Bristol Bay Borough,Alaska,997,867
Bristol city,Virginia,17835,16790
Bristol County,Massachusetts,548285,561483
Bristol County,Rhode Island,49875,48912
Broadwater County,Montana,5612,5936
Bronx County,New York,1385108,1471160
Brooke County,West Virginia,24069,22443
Brookings County,South Dakota,31965,34255
Brooks County,Georgia,16243,15587
Brooks County,Texas,7223,7235
Broome County,New York,200600,193639
Broomfield County,Colorado,55889,68341
Broward County,Florida,1748066,1935878
Brown County,Illinois,6937,6716
Brown County,Indiana,15242,15035
Brown County,Kansas,9984,9641
Brown County,Minnesota,25893,25194
Brown County,Nebraska,3145,3014
Brown County,Ohio,44846,43576
Brown County,South Dakota,36531,39178
Brown County,Texas,38106,38053
Brown County,Wisconsin,248007,262052
Brule County,South Dakota,5255,5312
Brunswick County,North Carolina,107431,130897
Brunswick County,Virginia,17434,16244
Bryan County,Georgia,30233,37060
Bryan County,Oklahoma,42416,46319
Buchanan County,Iowa,20958,21202
Buchanan County,Missouri,89201,89065
Buchanan County,Virginia,24098,21514
Buckingham County,Virginia,17146,17065
Bucks County,Pennsylvania,625249,628341
Buena Vista city,Virginia,6650,6327
Buena Vista County,Iowa,20260,20110
Buffalo County,Nebraska,46102,49732
Buffalo County,South Dakota,1912,1999
Buffalo County,Wisconsin,13587,13167
Bullitt County,Kentucky,74319,80246
Bulloch County,Georgia,70217,76149
Bullock County,Alabama,10914,10309
Buncombe County,North Carolina,238318,257607
Bureau County,Illinois,34978,33243
Burke County,Georgia,23316,22522
Burke County,North Carolina,90912,89293
Burke County,North Dakota,1968,2131
Burleigh County,North Dakota,81308,95030
Burleson County,Texas,17187,18011
Burlington County,New Jersey,448734,448596
Burnet County,Texas,42750,46804
Burnett County,Wisconsin,15457,15352
Burt County,Nebraska,6858,6535
Butler County,Alabama,20947,19825
Butler County,Iowa,14867,14606
Butler County,Kansas,65880,66878
Butler County,Kentucky,12690,12831
Butler County,Missouri,42794,42666
Butler County,Nebraska,8395,8053
Butler County,Ohio,368130,380604
Butler County,Pennsylvania,183862,187108
Butte County,California,220000,229294
Butte County,Idaho,2891,2602
Butte County,South Dakota,10110,10107
Butts County,Georgia,23655,24059
Cabarrus County,North Carolina,178011,206872
Cabell County,West Virginia,96319,94958
Cache County,Utah,112656,124438
Caddo County,Oklahoma,29600,29173
Caddo Parish,Louisiana,254969,246581
Calaveras County,California,45578,45670
Calcasieu Parish,Louisiana,192768,202445
Caldwell County,Kentucky,12984,12639
Caldwell County,Missouri,9424,9100
Caldwell County,North Carolina,83029,81981
Caldwell County,Texas,38066,42338
Caldwell Parish,Louisiana,10132,9950
Caledonia County,Vermont,31227,30164
Calhoun County,Alabama,118572,114728
Calhoun County,Arkansas,5368,5247
Calhoun County,Florida,14625,14483
Calhoun County,Georgia,6694,6455
Calhoun County,Illinois,5089,4833
Calhoun County,Iowa,9670,9746
Calhoun County,Michigan,136146,134128
Calhoun County,Mississippi,14962,14492
Calhoun County,South Carolina,15175,14704
Calhoun County,Texas,21381,21744
Calhoun County,West Virginia,7627,7307
Callahan County,Texas,13544,13946
Callaway County,Missouri,44332,45032
Calloway County,Kentucky,37191,38919
Calumet County,Wisconsin,48971,50067
Calvert County,Maryland,88737,91502
Camas County,Idaho,1117,1102
Cambria County,Pennsylvania,143679,133054
Camden County,Georgia,50513,53044
Camden County,Missouri,44002,45632
Camden County,New Jersey,513657,510719
Camden County,North Carolina,9980,10581
Cameron County,Pennsylvania,5085,4592
Cameron County,Texas,406220,423725
Cameron Parish,Louisiana,6839,6912
Camp County,Texas,12401,12855
Campbell County,Kentucky,90336,92488
Campbell County,South Dakota,1466,1379
Campbell County,Tennessee,40716,39648
Campbell County,Virginia,54842,55010
Campbell County,Wyoming,46133,46242
Canadian County,Oklahoma,115541,139926
Candler County,Georgia,10998,10797
Cannon County,Tennessee,13801,14216
Canyon County,Idaho,188923,216699
Cape Girardeau County,Missouri,75674,78161
Cape May County,New Jersey,97265,93553
Carbon County,Montana,10078,10696
Carbon County,Pennsylvania,65249,63853
Carbon County,Utah,21403,20295
Carbon County,Wyoming,15885,15303
Caribou County,Idaho,6963,7034
Carlisle County,Kentucky,5104,4846
Carlton County,Minnesota,35386,35498
Caroline County,Maryland,33066,33193
Caroline County,Virginia,28545,30461
Carroll County,Arkansas,27446,27944
Carroll County,Georgia,110527,117812
Carroll County,Illinois,15387,14518
Carroll County,Indiana,20155,20039
Carroll County,Iowa,20816,20320
Carroll County,Kentucky,10811,10713
Carroll County,Maryland,167134,167781
Carroll County,Mississippi,10597,10139
Carroll County,Missouri,9295,8796
Carroll County,New Hampshire,47818,48064
Carroll County,Ohio,28836,27385
Carroll County,Tennessee,28522,27860
Carroll County,Virginia,30042,29708
Carson City,Nevada,55274,54745
Carson County,Texas,6182,6032
Carter County,Kentucky,27720,27144
Carter County,Missouri,6265,6169
Carter County,Montana,1160,1222
Carter County,Oklahoma,47557,48190
Carter County,Tennessee,57424,56488
Carteret County,North Carolina,66469,68881
Carver County,Minnesota,91042,102119
Cascade County,Montana,81327,81654
Casey County,Kentucky,15955,15750
Cass County,Illinois,13642,12505
Cass County,Indiana,38966,37994
Cass County,Iowa,13956,13145
Cass County,Michigan,52293,51381
Cass County,Minnesota,28567,29355
Cass County,Missouri,99478,103724
Cass County,Nebraska,25241,25889
Cass County,North Dakota,149778,177787
Cass County,Texas,30464,30012
Cassia County,Idaho,22952,23664
Castro County,Texas,8062,7843
Caswell County,North Carolina,23719,22646
Catahoula Parish,Louisiana,10407,9875
Catawba County,North Carolina,154358,157974
Catoosa County,Georgia,63942,66550
Catron County,New Mexico,3725,3587
Cattaraugus County,New York,80317,77348
Cavalier County,North Dakota,3993,3762
Cayuga County,New York,80026,77603
Cecil County,Maryland,101108,102746
Cedar County,Iowa,18499,18543
Cedar County,Missouri,13982,14073
Cedar County,Nebraska,8852,8530
Centre County,Pennsylvania,153990,162660
Cerro Gordo County,Iowa,44151,43006
Chaffee County,Colorado,17809,19638
Chambers County,Alabama,34215,33713
Chambers County,Texas,35096,41441
Champaign County,Illinois,201081,209399
Champaign County,Ohio,40097,38840
Chariton County,Missouri,7831,7480
Charles City County,Virginia,7256,7004
Charles County,Maryland,146551,159700
Charles Mix County,South Dakota,9129,9428
Charleston County,South Carolina,350209,401438
Charlevoix County,Michigan,25949,26139
Charlotte County,Florida,159978,182033
Charlotte County,Virginia,12586,12119
Charlottesville city,Virginia,43475,48019
Charlton County,Georgia,12171,12715
Chase County,Kansas,2790,2683
Chase County,Nebraska,3966,3971
Chatham County,Georgia,265128,290501
Chatham County,North Carolina,63505,71472
Chattahoochee County,Georgia,11267,10343
Chattooga County,Georgia,26015,24770
Chautauqua County,Kansas,3669,3363
Chautauqua County,New York,134905,129046
Chaves County,New Mexico,65645,64866
Cheatham County,Tennessee,39105,40330
Cheboygan County,Michigan,26152,25369
Chelan County,Washington,72453,76533
Chemung County,New York,88830,85557
Chenango County,New York,50477,47863
Cherokee County,Alabama,25989,25857
Cherokee County,Georgia,214346,247573
Cherokee County,Iowa,12072,11316
Cherokee County,Kansas,21603,20115
Cherokee County,North Carolina,27444,28087
Cherokee County,Oklahoma,46987,48888
Cherokee County,South Carolina,55342,57105
Cherokee County,Texas,50845,52240
Cherry County,Nebraska,5713,5818
Chesapeake city,Virginia,222209,240397
Cheshire County,New Hampshire,77117,75960
Chester County,Pennsylvania,498886,519293
Chester County,South Carolina,33140,32301
Chester County,Tennessee,17131,17119
Chesterfield County,South Carolina,46734,45948
Chesterfield County,Virginia,316236,343599
Cheyenne County,Colorado,1836,1845
Cheyenne County,Kansas,2726,2683
Cheyenne County,Nebraska,9998,9676
Chickasaw County,Iowa,12439,12005
Chickasaw County,Mississippi,17392,17146
Chicot County,Arkansas,11800,10636
Childress County,Texas,7041,7067
Chilton County,Alabama,43643,44067
Chippewa County,Michigan,38520,37711
Chippewa County,Minnesota,12441,11980
Chippewa County,Wisconsin,62415,63813
Chisago County,Minnesota,53887,55308
Chittenden County,Vermont,156545,162372
Choctaw County,Alabama,13859,12945
Choctaw County,Mississippi,8547,8278
Choctaw County,Oklahoma,15205,14863
Chouteau County,Montana,5813,5765
Chowan County,North Carolina,14793,14105
Christian County,Illinois,34800,33102
Christian County,Kentucky,73955,70416
Christian County,Missouri,77422,85432
Churchill County,Nevada,24877,24230
Cibola County,New Mexico,27213,26853
Cimarron County,Oklahoma,2475,2154
Citrus County,Florida,141236,145647
Clackamas County,Oregon,375992,412672
Claiborne County,Mississippi,9604,8950
Claiborne County,Tennessee,32213,31609
Claiborne Parish,Louisiana,17195,15969
Clallam County,Washington,71404,75474
Clare County,Michigan,30926,30653
Clarendon County,South Carolina,34971,34057
Clarion County,Pennsylvania,39988,38458
Clark County,Arkansas,22995,22293
Clark County,Idaho,982,873
Clark County,Illinois,16335,15767
Clark County,Indiana,110232,116973
Clark County,Kansas,2215,2004
Clark County,Kentucky,35613,36046
Clark County,Missouri,7139,6723
Clark County,Nevada,1951269,2204079
Clark County,Ohio,138333,134557
Clark County,South Dakota,3691,3668
Clark County,Washington,425363,474643
Clark County,Wisconsin,34690,34679
Clarke County,Alabama,25833,24083
Clarke County,Georgia,116714,127064
Clarke County,Iowa,9286,9374
Clarke County,Mississippi,16732,15828
Clarke County,Virginia,14034,14508
Clatsop County,Oregon,37039,39182
Clay County,Alabama,13932,13367
Clay County,Arkansas,16083,14920
Clay County,Florida,190865,212230
Clay County,Georgia,3183,2962
Clay County,Illinois,13815,13269
Clay County,Indiana,26890,26198
Clay County,Iowa,16667,16170
Clay County,Kansas,8535,7958
Clay County,Kentucky,21730,20366
Clay County,Minnesota,58999,63569
Clay County,Mississippi,20634,19640
Clay County,Missouri,221939,242874
Clay County,Nebraska,6542,6205
Clay County,North Carolina,10587,11074
Clay County,South Dakota,13864,13990
Clay County,Tennessee,7861,7703
Clay County,Texas,10752,10421
Clay County,West Virginia,9386,8764
Clayton County,Georgia,259424,285153
Clayton County,Iowa,18129,17637
Clear Creek County,Colorado,9088,9574
Clearfield County,Pennsylvania,81642,79685
Clearwater County,Idaho,8761,8546
Clearwater County,Minnesota,8695,8878
Cleburne County,Alabama,14972,14900
Cleburne County,Arkansas,25970,25048
Clermont County,Ohio,197363,204214
Cleveland County,Arkansas,8689,8202
Cleveland County,North Carolina,98078,97334
Cleveland County,Oklahoma,255755,279641
Clinch County,Georgia,6798,6727
Clinton County,Illinois,37762,37614
Clinton County,Indiana,33224,32317
Clinton County,Iowa,49116,47010
Clinton County,Kentucky,10272,10276
Clinton County,Michigan,75382,78443
Clinton County,Missouri,20743,20554
Clinton County,New York,82128,80980
Clinton County,Ohio,42040,42009
Clinton County,Pennsylvania,39238,38998
Cloud County,Kansas,9533,8991
Coahoma County,Mississippi,26151,23154
Coal County,Oklahoma,5925,5642
Cobb County,Georgia,688078,755754
Cochise County,Arizona,131346,124756
Cochran County,Texas,3127,2851
Cocke County,Tennessee,35662,35556
Coconino County,Arizona,134421,140776
Codington County,South Dakota,27227,28099
Coffee County,Alabama,49948,51874
Coffee County,Georgia,42356,43014
Coffee County,Tennessee,52796,55034
Coffey County,Kansas,8601,8224
Coke County,Texas,3320,3306
Colbert County,Alabama,54428,54500
Cole County,Missouri,75990,76708
Coleman County,Texas,8895,8430
Coles County,Illinois,53873,51979
Colfax County,Nebraska,10515,10585
Colfax County,New Mexico,13750,12174
Colleton County,South Carolina,38892,37611
Collier County,Florida,321520,372880
Collin County,Texas,782341,969603
Collingsworth County,Texas,3057,2987
Colonial Heights city,Virginia,17411,17830
Colorado County,Texas,20874,21232
Colquitt County,Georgia,45498,45835
Columbia County,Arkansas,24552,23627
Columbia County,Florida,67531,69612
Columbia County,Georgia,124053,151579
Columbia County,New York,63096,60604
Columbia County,Oregon,49351,51782
Columbia County,Pennsylvania,67295,65932
Columbia County,Washington,4078,4047
Columbia County,Wisconsin,56833,57248
Columbiana County,Ohio,107841,103077
Columbus County,North Carolina,58098,55936
Colusa County,California,21419,21805
Comal County,Texas,108472,141009
Comanche County,Kansas,1891,1790
Comanche County,Oklahoma,124098,121526
Comanche County,Texas,13974,13573
Concho County,Texas,4087,2717
Concordia Parish,Louisiana,20822,19866
Conecuh County,Alabama,13228,12469
Conejos County,Colorado,8256,8184
Contra Costa County,California,1049025,1147439
Converse County,Wyoming,13833,13809
Conway County,Arkansas,21273,20916
Cook County,Georgia,17212,17277
Cook County,Illinois,5194675,5211263
Cook County,Minnesota,5176,5398
Cooke County,Texas,38437,39895
Cooper County,Missouri,17601,17644
Coos County,New Hampshire,33055,31634
Coos County,Oregon,63043,63888
Coosa County,Alabama,11539,10754
Copiah County,Mississippi,29449,28516
Corson County,South Dakota,4050,4203
Cortland County,New York,49336,47786
Coryell County,Texas,75388,74913
Coshocton County,Ohio,36901,36544
Costilla County,Colorado,3524,3776
Cottle County,Texas,1505,1387
Cotton County,Oklahoma,6193,5823
Cottonwood County,Minnesota,11687,11295
Covington city,Virginia,5961,5531
Covington County,Alabama,37765,37092
Covington County,Mississippi,19568,19079
Coweta County,Georgia,127317,143114
Cowley County,Kansas,36311,35361
Cowlitz County,Washington,102410,106910
Craig County,Oklahoma,15029,14327
Craig County,Virginia,5190,5062
Craighead County,Arkansas,96443,107115
Crane County,Texas,4375,4740
Craven County,North Carolina,103505,102578
Crawford County,Arkansas,61948,62996
Crawford County,Georgia,12630,12295
Crawford County,Illinois,19817,18961
Crawford County,Indiana,10713,10566
Crawford County,Iowa,17096,17056
Crawford County,Kansas,39134,39034
Crawford County,Michigan,14074,13907
Crawford County,Missouri,24696,24102
Crawford County,Ohio,43784,41746
Crawford County,Pennsylvania,88765,86159
Crawford County,Wisconsin,16644,16214
Creek County,Oklahoma,69967,71704
Crenshaw County,Alabama,13906,13871
Crisp County,Georgia,23439,22736
Crittenden County,Arkansas,50902,48750
Crittenden County,Kentucky,9315,9084
Crockett County,Tennessee,14586,14473
Crockett County,Texas,3719,3564
Crook County,Oregon,20978,23123
Crook County,Wyoming,7083,7410
Crosby County,Texas,6059,5899
Cross County,Arkansas,17870,16863
Crow Wing County,Minnesota,62500,64424
Crowley County,Colorado,5823,5810
Culberson County,Texas,2398,2231
Cullman County,Alabama,80406,82755
Culpeper County,Virginia,46689,51282
Cumberland County,Illinois,11048,10908
Cumberland County,Kentucky,6856,6706
Cumberland County,Maine,281674,292500
Cumberland County,New Jersey,156898,152538
Cumberland County,North Carolina,319431,332546
Cumberland County,Pennsylvania,235406,250066
Cumberland County,Tennessee,56053,59078
Cumberland County,Virginia,10052,9811
Cuming County,Nebraska,9139,9042
Currituck County,North Carolina,23547,26331
Curry County,New Mexico,48376,49812
Curry County,Oregon,22364,22669
Custer County,Colorado,4255,4874
Custer County,Idaho,4368,4172
Custer County,Montana,11699,11721
Custer County,Nebraska,10939,10897
Custer County,Oklahoma,27469,28800
Custer County,South Dakota,8216,8691
Cuyahoga County,Ohio,1280122,1248514
Dade County,Georgia,16633,16285
Dade County,Missouri,7883,7588
Daggett County,Utah,1059,1029
Dakota County,Minnesota,398552,421751
Dakota County,Nebraska,21006,20186
Dale County,Alabama,50251,49226
Dallam County,Texas,6703,7208
Dallas County,Alabama,43820,39215
Dallas County,Arkansas,8116,7393
Dallas County,Iowa,66135,87235
Dallas County,Missouri,16777,16673
Dallas County,Texas,2368139,2618148
Dane County,Wisconsin,488073,536416
Daniels County,Montana,1751,1737
Danville city,Virginia,43055,41130
Dare County,North Carolina,33920,36099
Darke County,Ohio,52959,51536
Darlington County,South Carolina,68681,67265
Dauphin County,Pennsylvania,268100,275710
Davidson County,North Carolina,162878,165466
Davidson County,Tennessee,626681,691243
Davie County,North Carolina,41240,42456
Daviess County,Indiana,31648,33113
Daviess County,Kentucky,96656,100374
Daviess County,Missouri,8433,8361
Davis County,Iowa,8753,8966
Davis County,Utah,306479,347637
Davison County,South Dakota,19504,19704
Dawes County,Nebraska,9182,8890
Dawson County,Georgia,22330,24379
Dawson County,Montana,8966,8950
Dawson County,Nebraska,24326,23709
Dawson County,Texas,13833,12813
Day County,South Dakota,5710,5521
De Baca County,New Mexico,2022,1829
De Soto Parish,Louisiana,26656,27340
De Witt County,Illinois,16561,15942
Deaf Smith County,Texas,19372,18836
Dearborn County,Indiana,50047,49741
Decatur County,Georgia,27842,26716
Decatur County,Indiana,25740,26737
Decatur County,Iowa,8457,7950
Decatur County,Kansas,2961,2885
Decatur County,Tennessee,11757,11751
Deer Lodge County,Montana,9298,9106
Defiance County,Ohio,39037,38156
DeKalb County,Alabama,71109,71617
DeKalb County,Georgia,691893,753253
DeKalb County,Illinois,105160,104733
DeKalb County,Indiana,42223,42836
DeKalb County,Missouri,12892,12588
DeKalb County,Tennessee,18723,19852
Del Norte County,California,28610,27470
Delaware County,Indiana,117671,115184
Delaware County,Iowa,17764,17153
Delaware County,New York,47980,45001
Delaware County,Ohio,174214,200464
Delaware County,Oklahoma,41487,42602
Delaware County,Pennsylvania,558979,564696
Delta County,Colorado,30952,30568
Delta County,Michigan,37069,35965
Delta County,Texas,5231,5298
Denali Borough,Alaska,1826,2074
Dent County,Missouri,15657,15480
Denton County,Texas,662614,836210
Denver County,Colorado,600158,704621
Des Moines County,Iowa,40325,39417
Deschutes County,Oregon,157733,186875
Desha County,Arkansas,13008,11764
DeSoto County,Florida,34862,36862
DeSoto County,Mississippi,161252,178751
Deuel County,Nebraska,1941,1883
Deuel County,South Dakota,4364,4281
Dewey County,Oklahoma,4810,4878
Dewey County,South Dakota,5301,5835
DeWitt County,Texas,20097,20226
Dickens County,Texas,2444,2209
Dickenson County,Virginia,15903,14782
Dickey County,North Dakota,5289,4861
Dickinson County,Iowa,16667,17199
Dickinson County,Kansas,19754,18902
Dickinson County,Michigan,26168,25415
Dickson County,Tennessee,49666,52853
Dillingham Census Area,Alaska,4847,4932
Dillon County,South Carolina,32062,30666
Dimmit County,Texas,9996,10418
Dinwiddie County,Virginia,28001,28208
District of Columbia,District of Columbia,601723,693972
Divide County,North Dakota,2071,2288
Dixie County,Florida,16422,16673
Dixon County,Nebraska,6000,5754
Doddridge County,West Virginia,8202,8560
Dodge County,Georgia,21796,20730
Dodge County,Minnesota,20087,20762
Dodge County,Nebraska,36691,36707
Dodge County,Wisconsin,88759,87786
Dolores County,Colorado,2064,2067
Doña Ana County,New Mexico,209233,215579
