Date,DogFood
3/1/1999,138.1
4/1/1999,138.1
5/1/1999,138.1
6/1/1999,138.1
7/1/1999,138.1
8/1/1999,137.2
9/1/1999,137.2
10/1/1999,137.2
11/1/1999,137.2
12/1/1999,137.2
1/1/2000,137.2
2/1/2000,137.2
3/1/2000,137.2
4/1/2000,137.2
5/1/2000,137.2
6/1/2000,137.2
7/1/2000,137.2
8/1/2000,137.2
9/1/2000,137.2
10/1/2000,137.2
11/1/2000,137.3
12/1/2000,137.3
1/1/2001,139.9
2/1/2001,140.4
3/1/2001,140.6
4/1/2001,141.1
5/1/2001,141
6/1/2001,141
7/1/2001,141
8/1/2001,141
9/1/2001,141.4
10/1/2001,141.4
11/1/2001,141.5
12/1/2001,141.4
1/1/2002,141.7
2/1/2002,141.6
3/1/2002,141.8
4/1/2002,142
5/1/2002,142
6/1/2002,142.1
7/1/2002,142.1
8/1/2002,142
9/1/2002,142
10/1/2002,141.9
11/1/2002,141.9
12/1/2002,141.9
1/1/2003,143
2/1/2003,143.1
3/1/2003,143
4/1/2003,142.8
5/1/2003,142.7
6/1/2003,142.7
7/1/2003,142.8
8/1/2003,142.8
9/1/2003,142.7
10/1/2003,142.7
11/1/2003,142.8
12/1/2003,142.6
1/1/2004,146
2/1/2004,146.2
3/1/2004,146.2
4/1/2004,148.3
5/1/2004,150.1
6/1/2004,150.9
7/1/2004,150.8
8/1/2004,151.5
9/1/2004,151.1
10/1/2004,151.1
11/1/2004,151
12/1/2004,150.8
1/1/2005,150.1
2/1/2005,149.9
3/1/2005,149.9
4/1/2005,150.8
5/1/2005,150.7
6/1/2005,150.7
7/1/2005,151.2
8/1/2005,151.3
9/1/2005,150.9
10/1/2005,150.9
11/1/2005,150.9
12/1/2005,151.4
1/1/2006,151.7
2/1/2006,152.1
3/1/2006,151.4
4/1/2006,151.3
5/1/2006,151.4
6/1/2006,151.4
7/1/2006,151.5
8/1/2006,151.5
9/1/2006,151.4
10/1/2006,151.6
11/1/2006,152
12/1/2006,153.9
1/1/2007,155.3
2/1/2007,158.5
3/1/2007,159.9
4/1/2007,160.2
5/1/2007,160.4
6/1/2007,162.2
7/1/2007,163
8/1/2007,163.1
9/1/2007,163
10/1/2007,163.6
11/1/2007,164
12/1/2007,164.9
1/1/2008,166.2
2/1/2008,169.6
3/1/2008,173.7
4/1/2008,175
5/1/2008,175.6
6/1/2008,182.3
7/1/2008,191.9
8/1/2008,194.8
9/1/2008,194.5
10/1/2008,194.8
11/1/2008,193.3
12/1/2008,192.7
1/1/2009,196
2/1/2009,196.8
3/1/2009,200.3
4/1/2009,200.9
5/1/2009,200.8
6/1/2009,200.8
7/1/2009,200.9
8/1/2009,200.9
9/1/2009,196.5
10/1/2009,196.2
11/1/2009,195.8
12/1/2009,195.8
1/1/2010,196.3
2/1/2010,196.3
3/1/2010,196.7
4/1/2010,196.7
5/1/2010,196.8
6/1/2010,199.7
7/1/2010,199.8
8/1/2010,199.8
9/1/2010,199.8
10/1/2010,200.4
11/1/2010,200.9
12/1/2010,201.5
1/1/2011,202.3
2/1/2011,202.3
3/1/2011,203.5
4/1/2011,204
5/1/2011,204.8
6/1/2011,205
7/1/2011,205
8/1/2011,205
9/1/2011,205.9
10/1/2011,206.2
11/1/2011,206.7
12/1/2011,206.4
1/1/2012,206.6
2/1/2012,206.6
3/1/2012,206.7
4/1/2012,207
5/1/2012,207.1
6/1/2012,209.5
7/1/2012,210.7
8/1/2012,210.6
9/1/2012,211.6
10/1/2012,211.7
11/1/2012,214.4
12/1/2012,214.5
1/1/2013,214.5
2/1/2013,215.6
3/1/2013,216.1
4/1/2013,216.2
5/1/2013,216.2
6/1/2013,216.2
7/1/2013,221.7
8/1/2013,221.6
9/1/2013,221.6
10/1/2013,221.6
11/1/2013,221.6
12/1/2013,221.6
1/1/2014,221.6
2/1/2014,221.7
3/1/2014,221.9
4/1/2014,222.3
5/1/2014,222.5
6/1/2014,222.4
7/1/2014,221.9
8/1/2014,226.2
9/1/2014,226
10/1/2014,226
11/1/2014,226
12/1/2014,225.9
1/1/2015,226
2/1/2015,226.1
3/1/2015,226.1
4/1/2015,226.1
5/1/2015,226.1
6/1/2015,226.1
7/1/2015,225.9
8/1/2015,225.9
9/1/2015,225.9
10/1/2015,226
11/1/2015,225.9
12/1/2015,225.8
1/1/2016,225.8
2/1/2016,225.8
3/1/2016,225.7
4/1/2016,232
5/1/2016,232
6/1/2016,232
7/1/2016,232
8/1/2016,232
9/1/2016,232
10/1/2016,232
11/1/2016,232
12/1/2016,231.9
1/1/2017,231.8
2/1/2017,231.9
3/1/2017,231.9
4/1/2017,231.9
5/1/2017,232
6/1/2017,231.5
7/1/2017,231.5
8/1/2017,231.7
9/1/2017,231.7
10/1/2017,231.7
11/1/2017,231.7
12/1/2017,231.7
1/1/2018,231.8
2/1/2018,236.3
3/1/2018,236.2
4/1/2018,236.3
5/1/2018,236.3
6/1/2018,236.2
7/1/2018,236.3
8/1/2018,236.3
9/1/2018,236.3
10/1/2018,236.3
11/1/2018,239.6
12/1/2018,238.9
