Date,Inventories
2/1/2009,1718820
3/1/2009,1703226
4/1/2009,1690786
5/1/2009,1673611
6/1/2009,1655462
7/1/2009,1638480
8/1/2009,1617107
9/1/2009,1608198
10/1/2009,1610476
11/1/2009,1612759
12/1/2009,1604026
1/1/2010,1602743
2/1/2010,1605271
3/1/2010,1607725
4/1/2010,1608913
5/1/2010,1606114
6/1/2010,1615168
7/1/2010,1625366
8/1/2010,1635130
9/1/2010,1647697
10/1/2010,1656675
11/1/2010,1656120
12/1/2010,1663852
1/1/2011,1665177
2/1/2011,1664173
3/1/2011,1672664
4/1/2011,1679090
5/1/2011,1687537
6/1/2011,1691018
7/1/2011,1692266
8/1/2011,1695545
9/1/2011,1687894
10/1/2011,1696715
11/1/2011,1703512
12/1/2011,1709421
1/1/2012,1714925
2/1/2012,1726169
3/1/2012,1729963
4/1/2012,1735732
5/1/2012,1743584
6/1/2012,1749502
7/1/2012,1761306
8/1/2012,1769266
9/1/2012,1775178
10/1/2012,1775242
11/1/2012,1780540
12/1/2012,1784009
1/1/2013,1799869
2/1/2013,1803481
3/1/2013,1806109
4/1/2013,1813121
5/1/2013,1815245
6/1/2013,1819522
7/1/2013,1827709
8/1/2013,1838062
9/1/2013,1848087
10/1/2013,1860310
11/1/2013,1871121
12/1/2013,1878653
1/1/2014,1885013
2/1/2014,1892254
3/1/2014,1896241
4/1/2014,1903303
5/1/2014,1910340
6/1/2014,1914620
7/1/2014,1923259
8/1/2014,1930392
9/1/2014,1933021
10/1/2014,1940519
11/1/2014,1945946
12/1/2014,1947774
1/1/2015,1953109
2/1/2015,1966936
3/1/2015,1974832
4/1/2015,1986781
5/1/2015,1991247
6/1/2015,2003489
7/1/2015,2008314
8/1/2015,2014926
9/1/2015,2026759
10/1/2015,2035079
11/1/2015,2034881
12/1/2015,2040092
1/1/2016,2042452
2/1/2016,2042254
3/1/2016,2051480
4/1/2016,2057157
5/1/2016,2057546
6/1/2016,2056598
7/1/2016,2052876
8/1/2016,2055978
9/1/2016,2059378
10/1/2016,2056580
11/1/2016,2065534
12/1/2016,2070388
1/1/2017,2070587
2/1/2017,2070299
3/1/2017,2071371
4/1/2017,2068029
5/1/2017,2072745
6/1/2017,2080877
7/1/2017,2085513
8/1/2017,2097163
9/1/2017,2097753
10/1/2017,2095167
11/1/2017,2099137
12/1/2017,2103751
1/1/2018,2110158
2/1/2018,2118199
3/1/2018,2112427
4/1/2018,2112276
5/1/2018,2111835
6/1/2018,2109298
7/1/2018,2119618
8/1/2018,2127170
9/1/2018,2134172
10/1/2018,2144639
11/1/2018,2143001
12/1/2018,2158115
