DATE,UMTMVS
2010-02-01,362439.0
2010-03-01,424203.0
2010-04-01,408902.0
2010-05-01,408799.0
2010-06-01,428819.0
2010-07-01,398302.0
2010-08-01,424860.0
2010-09-01,431329.0
2010-10-01,425072.0
2010-11-01,412464.0
2010-12-01,427075.0
2011-01-01,403211.0
2011-02-01,407684.0
2011-03-01,485327.0
2011-04-01,456422.0
2011-05-01,466496.0
2011-06-01,484994.0
2011-07-01,445432.0
2011-08-01,484300.0
2011-09-01,478009.0
2011-10-01,469514.0
2011-11-01,453233
2011-12-01,457272.0
2012-01-01,434180.0
2012-02-01,454085.0
2012-03-01,503155.0
2012-04-01,472886.0
2012-05-01,492985.0
2012-06-01,487993.0
2012-07-01,453560.0
2012-08-01,493770.0
2012-09-01,482268.0
2012-10-01,491794.0
2012-11-01,467007.0
2012-12-01,463045.0
2013-01-01,447825.0
2013-02-01,453495.0
2013-03-01,501472.0
2013-04-01,481813.0
2013-05-01,501730.0
2013-06-01,496620.0
2013-07-01,472578.0
2013-08-01,502365.0
2013-09-01,497243.0
2013-10-01,502409.0
2013-11-01,475238.0
2013-12-01,476957.0
2014-01-01,451848.0
2014-02-01,457671.0
2014-03-01,513700.0
2014-04-01,496599.0
2014-05-01,506633.0
2014-06-01,516935.0
2014-07-01,487886.0
2014-08-01,506579.0
2014-09-01,512988.0
2014-10-01,505685.0
2014-11-01,458472.0
2014-12-01,472563.0
2015-01-01,424095.0
2015-02-01,430233.0
2015-03-01,492451.0
2015-04-01,468957.0
2015-05-01,468526.0
2015-06-01,495062.0
2015-07-01,453879.0
2015-08-01,469213.0
2015-09-01,477402.0
2015-10-01,465063.0
2015-11-01,435515.0
2015-12-01,438624.0
2016-01-01,398051.0
2016-02-01,423282.0
2016-03-01,471259.0
2016-04-01,439410.0
2016-05-01,451226.0
2016-06-01,474696.0
2016-07-01,421557.0
2016-08-01,464790.0
2016-09-01,468055.0
2016-10-01,452861.0
2016-11-01,438012.0
2016-12-01,451495.0
2017-01-01,421083.0
2017-02-01,427284.0
2017-03-01,491455.0
2017-04-01,449373.0
2017-05-01,478519.0
2017-06-01,491415.0
2017-07-01,440348.0
2017-08-01,489567.0
2017-09-01,485527.0
2017-10-01,486150.0
2017-11-01,473983.0
2017-12-01,470212.0
2018-01-01,453777.0
2018-02-01,455059.0
2018-03-01,518285.0
2018-04-01,489659.0
2018-05-01,515105.0
2018-06-01,525660.0
2018-07-01,482868.0
2018-08-01,529157.0
2018-09-01,516992.0
2018-10-01,527031.0
2018-11-01,495901.0
2018-12-01,490076.0
2019-01-01,466791.0
