Date,Employees
2/1/2001,68.7
3/1/2001,69
4/1/2001,68.9
5/1/2001,68.5
6/1/2001,68.3
7/1/2001,66.7
8/1/2001,66.4
9/1/2001,65.5
10/1/2001,65.1
11/1/2001,64
12/1/2001,63.8
1/1/2002,62.7
2/1/2002,62.5
3/1/2002,62.6
4/1/2002,62.5
5/1/2002,62.7
6/1/2002,62.7
7/1/2002,62.6
8/1/2002,62.5
9/1/2002,62.3
10/1/2002,62.5
11/1/2002,62.8
12/1/2002,62.8
1/1/2003,62.4
2/1/2003,62.7
3/1/2003,62.4
4/1/2003,61.9
5/1/2003,61.5
6/1/2003,61.5
7/1/2003,61.3
8/1/2003,61.1
9/1/2003,60.8
10/1/2003,60.5
11/1/2003,60.7
12/1/2003,60.7
1/1/2004,60.6
2/1/2004,60.7
3/1/2004,60.8
4/1/2004,60.8
5/1/2004,60.6
6/1/2004,60.6
7/1/2004,60.6
8/1/2004,60.3
9/1/2004,60.1
10/1/2004,60
11/1/2004,60
12/1/2004,59.8
1/1/2005,58.9
2/1/2005,59.1
3/1/2005,59.2
4/1/2005,58.9
5/1/2005,58.7
6/1/2005,58.9
7/1/2005,58.9
8/1/2005,58.8
9/1/2005,58.5
10/1/2005,58.4
11/1/2005,58.5
12/1/2005,58.6
1/1/2006,57.7
2/1/2006,57.7
3/1/2006,57.8
4/1/2006,57.7
5/1/2006,57.6
6/1/2006,57.7
7/1/2006,57.7
8/1/2006,57.5
9/1/2006,57.7
10/1/2006,57.5
11/1/2006,57.4
12/1/2006,57.2
1/1/2007,56.4
2/1/2007,56.7
3/1/2007,56.8
4/1/2007,56.3
5/1/2007,56.3
6/1/2007,56.2
7/1/2007,56
8/1/2007,55.8
9/1/2007,55.4
10/1/2007,55.2
11/1/2007,55.1
12/1/2007,55.1
1/1/2008,54.3
2/1/2008,54.4
3/1/2008,53.9
4/1/2008,53.5
5/1/2008,53.3
6/1/2008,52.8
7/1/2008,52.3
8/1/2008,51.9
9/1/2008,51.5
10/1/2008,50.6
11/1/2008,49.9
12/1/2008,49.1
1/1/2009,48
2/1/2009,47.3
3/1/2009,46.5
4/1/2009,45.7
5/1/2009,45
6/1/2009,44
7/1/2009,43
8/1/2009,42.4
9/1/2009,41.7
10/1/2009,41.2
11/1/2009,40.8
12/1/2009,40.5
1/1/2010,39.6
2/1/2010,39.6
3/1/2010,39.4
4/1/2010,39.1
5/1/2010,39
6/1/2010,38.6
7/1/2010,38.3
8/1/2010,38
9/1/2010,37.8
10/1/2010,37.8
11/1/2010,37.6
12/1/2010,37.4
1/1/2011,37.1
2/1/2011,37.3
3/1/2011,37.1
4/1/2011,36.7
5/1/2011,36.7
6/1/2011,36.7
7/1/2011,36.4
8/1/2011,36.3
9/1/2011,36
10/1/2011,36.1
11/1/2011,36
12/1/2011,35.8
1/1/2012,35.3
2/1/2012,35.3
3/1/2012,35.2
4/1/2012,34.9
5/1/2012,35.1
6/1/2012,35.2
7/1/2012,35.3
8/1/2012,35.2
9/1/2012,35.2
10/1/2012,35
11/1/2012,35
12/1/2012,35.1
1/1/2013,34.7
2/1/2013,34.9
3/1/2013,35.1
4/1/2013,34.7
5/1/2013,34.7
6/1/2013,34.5
7/1/2013,34
8/1/2013,33.9
9/1/2013,33.8
10/1/2013,33.5
11/1/2013,33.5
12/1/2013,33.4
1/1/2014,33
2/1/2014,33
3/1/2014,32.9
4/1/2014,32.7
5/1/2014,32.8
6/1/2014,32.6
7/1/2014,32.5
8/1/2014,32.5
9/1/2014,32.5
10/1/2014,32.5
11/1/2014,32.6
12/1/2014,32.5
1/1/2015,32
2/1/2015,32.1
3/1/2015,32.1
4/1/2015,31.9
5/1/2015,31.9
6/1/2015,31.9
7/1/2015,32
8/1/2015,31.9
9/1/2015,31.8
10/1/2015,31.4
11/1/2015,31.5
12/1/2015,31.4
1/1/2016,30.8
2/1/2016,30.9
3/1/2016,30.6
4/1/2016,30.6
5/1/2016,30.5
6/1/2016,30.2
7/1/2016,30.5
8/1/2016,30.4
9/1/2016,30.2
10/1/2016,30.2
11/1/2016,30.2
12/1/2016,30.2
1/1/2017,28.9
2/1/2017,28.9
3/1/2017,28.9
4/1/2017,28.6
5/1/2017,28.4
6/1/2017,28.3
7/1/2017,28.3
8/1/2017,28
9/1/2017,27.8
10/1/2017,27.7
11/1/2017,27.6
12/1/2017,27.5
1/1/2018,27.4
2/1/2018,27.3
3/1/2018,27.1
4/1/2018,26.8
5/1/2018,26.5
6/1/2018,26.2
7/1/2018,26.2
8/1/2018,26
9/1/2018,25.7
10/1/2018,25.6
11/1/2018,25.7
12/1/2018,25.5
