Date,CatFood
8/1/1998,121.3
9/1/1998,121.3
10/1/1998,121.2
11/1/1998,121.2
12/1/1998,121.2
1/1/1999,121.2
2/1/1999,121.2
3/1/1999,121.2
4/1/1999,121.2
5/1/1999,121.2
6/1/1999,121.2
7/1/1999,121.2
8/1/1999,120
9/1/1999,120
10/1/1999,120
11/1/1999,120
12/1/1999,120.1
1/1/2000,120.1
2/1/2000,120.1
3/1/2000,120.1
4/1/2000,120
5/1/2000,120.4
6/1/2000,120.4
7/1/2000,120.4
8/1/2000,120.5
9/1/2000,120.5
10/1/2000,120.5
11/1/2000,120.5
12/1/2000,120.3
1/1/2001,123.7
2/1/2001,123.8
3/1/2001,123.8
4/1/2001,124.2
5/1/2001,124.2
6/1/2001,124.2
7/1/2001,124.2
8/1/2001,124.3
9/1/2001,124.5
10/1/2001,124.5
11/1/2001,124.5
12/1/2001,124.5
1/1/2002,122.5
2/1/2002,122.5
3/1/2002,122.5
4/1/2002,122.6
5/1/2002,122.6
6/1/2002,122.6
7/1/2002,122.6
8/1/2002,122.3
9/1/2002,122.3
10/1/2002,122.3
11/1/2002,122.4
12/1/2002,122.4
1/1/2003,122.7
2/1/2003,122.7
3/1/2003,123.1
4/1/2003,122
5/1/2003,122
6/1/2003,122
7/1/2003,122
8/1/2003,122
9/1/2003,122.3
10/1/2003,122.3
11/1/2003,122.3
12/1/2003,122.6
1/1/2004,125.9
2/1/2004,125.9
3/1/2004,126
4/1/2004,135.1
5/1/2004,134.3
6/1/2004,134.7
7/1/2004,134.7
8/1/2004,135.7
9/1/2004,135.7
10/1/2004,136.1
11/1/2004,136.1
12/1/2004,136.1
1/1/2005,135.5
2/1/2005,135.5
3/1/2005,135.5
4/1/2005,136.8
5/1/2005,136.8
6/1/2005,136.8
7/1/2005,136.8
8/1/2005,136.8
9/1/2005,136.6
10/1/2005,136.6
11/1/2005,136
12/1/2005,136.3
1/1/2006,136.4
2/1/2006,136.7
3/1/2006,136.7
4/1/2006,136.7
5/1/2006,142.1
6/1/2006,142.2
7/1/2006,142.2
8/1/2006,142.2
9/1/2006,142.2
10/1/2006,142.2
11/1/2006,142.5
12/1/2006,142.5
1/1/2007,143.1
2/1/2007,144.9
3/1/2007,145.5
4/1/2007,145.5
5/1/2007,145.7
6/1/2007,146
7/1/2007,146
8/1/2007,145.9
9/1/2007,146.2
10/1/2007,146.2
11/1/2007,146.3
12/1/2007,146.2
1/1/2008,146.6
2/1/2008,153.6
3/1/2008,155.6
4/1/2008,164.3
5/1/2008,164.4
6/1/2008,171
7/1/2008,173.5
8/1/2008,173.8
9/1/2008,172.4
10/1/2008,173
11/1/2008,173
12/1/2008,173
1/1/2009,174.3
2/1/2009,174.3
3/1/2009,174.3
4/1/2009,174.3
5/1/2009,174.3
6/1/2009,174.3
7/1/2009,174.3
8/1/2009,174.3
9/1/2009,174.3
10/1/2009,174.3
11/1/2009,173.1
12/1/2009,173.1
1/1/2010,173.1
2/1/2010,173.1
3/1/2010,173.1
4/1/2010,173.1
5/1/2010,173.1
6/1/2010,173.1
7/1/2010,173.1
8/1/2010,173.1
9/1/2010,173.1
10/1/2010,173.6
11/1/2010,173.6
12/1/2010,174.4
1/1/2011,174.8
2/1/2011,174.8
3/1/2011,178.5
4/1/2011,178.6
5/1/2011,179.6
6/1/2011,179.6
7/1/2011,178.3
8/1/2011,178.3
9/1/2011,179.4
10/1/2011,179.9
11/1/2011,180.1
12/1/2011,179.9
1/1/2012,179.9
2/1/2012,181.4
3/1/2012,181.4
4/1/2012,181.4
5/1/2012,181.5
6/1/2012,182.1
7/1/2012,184.3
8/1/2012,184.3
9/1/2012,184.7
10/1/2012,187.3
11/1/2012,188.6
12/1/2012,188.6
1/1/2013,188.5
2/1/2013,188.6
3/1/2013,188.8
4/1/2013,188.9
5/1/2013,188.9
6/1/2013,188.9
7/1/2013,190.1
8/1/2013,190.1
9/1/2013,190.1
10/1/2013,190.1
11/1/2013,190.1
12/1/2013,190.1
1/1/2014,190.1
2/1/2014,190.1
3/1/2014,190.1
4/1/2014,190.1
5/1/2014,190.2
6/1/2014,190.2
7/1/2014,190.5
8/1/2014,191.6
9/1/2014,191.6
10/1/2014,191.6
11/1/2014,191.6
12/1/2014,191.7
1/1/2015,191.7
2/1/2015,191.7
3/1/2015,191.7
4/1/2015,194.7
5/1/2015,194.7
6/1/2015,194.7
7/1/2015,194.8
8/1/2015,194.8
9/1/2015,194.8
10/1/2015,194.8
11/1/2015,194.8
12/1/2015,198
1/1/2016,198
2/1/2016,198
3/1/2016,198
4/1/2016,198.6
5/1/2016,198.6
6/1/2016,198.6
7/1/2016,198.6
8/1/2016,198.6
9/1/2016,198.6
10/1/2016,198.6
11/1/2016,198.6
12/1/2016,198.6
1/1/2017,198.8
2/1/2017,198.8
3/1/2017,195.6
4/1/2017,195.6
5/1/2017,195.6
6/1/2017,195.6
7/1/2017,195.6
8/1/2017,195.6
9/1/2017,192.5
10/1/2017,192.4
11/1/2017,192.4
12/1/2017,195.6
1/1/2018,195.6
2/1/2018,198.7
3/1/2018,198.6
4/1/2018,198.8
5/1/2018,198.8
6/1/2018,198.8
7/1/2018,198.8
8/1/2018,198.8
9/1/2018,198.8
10/1/2018,198.8
11/1/2018,200.2
12/1/2018,200.2
